default,housing,loan,y
no,no,yes,no
no,no,no,no
no,no,no,no
unknown,yes,no,no
unknown,yes,yes,no
unknown,yes,yes,no
unknown,no,no,no
no,yes,no,no
no,yes,no,no
unknown,yes,no,no
no,no,no,no
unknown,no,no,no
unknown,no,no,no
unknown,yes,no,no
no,no,no,no
no,no,no,no
no,yes,no,no
unknown,yes,no,no
unknown,no,no,no
no,no,no,no
unknown,no,no,no
no,yes,no,no
no,yes,yes,no
unknown,no,no,no
no,yes,no,no
no,yes,no,no
no,no,no,no
no,no,no,no
no,yes,no,no
unknown,no,yes,no
no,no,no,no
unknown,no,no,no
no,yes,no,no
no,no,no,no
unknown,no,no,no
no,no,no,yes
unknown,no,yes,no
unknown,no,no,no
no,no,yes,no
unknown,no,no,no
unknown,yes,no,no
no,no,no,no
no,yes,no,no
no,yes,no,no
no,no,no,no
unknown,yes,no,no
no,yes,no,no
no,no,no,no
no,no,yes,no
unknown,no,no,no
no,no,no,no
no,yes,no,no
no,yes,no,no
no,no,no,no
no,yes,yes,no
unknown,no,no,no
unknown,yes,no,no
no,yes,no,no
no,no,no,yes
unknown,unknown,unknown,no
no,yes,no,no
no,no,no,no
unknown,yes,no,no
no,no,no,no
unknown,no,no,no
unknown,no,no,no
unknown,no,no,no
no,no,no,no
unknown,no,no,no
unknown,no,yes,no
no,yes,no,no
no,no,no,no
unknown,yes,no,no
unknown,yes,yes,no
no,unknown,unknown,no
unknown,no,no,no
no,yes,no,no
unknown,no,no,no
no,yes,no,no
no,yes,no,no
unknown,no,no,no
no,no,no,no
unknown,no,no,no
unknown,unknown,unknown,no
unknown,unknown,unknown,no
no,yes,no,no
unknown,yes,no,no
no,yes,no,no
unknown,yes,no,no
unknown,no,no,no
no,unknown,unknown,no
no,no,no,no
unknown,yes,no,no
unknown,yes,no,yes
no,no,no,no
no,no,no,no
unknown,yes,no,no
no,yes,no,no
unknown,yes,no,no
no,no,no,no
no,no,no,no
no,yes,no,no
no,yes,yes,no
no,yes,no,no
unknown,yes,no,no
unknown,yes,no,no
no,no,no,no
unknown,no,no,no
no,no,no,no
unknown,unknown,unknown,no
no,no,no,no
no,yes,no,no
no,no,no,no
no,no,no,no
unknown,yes,no,no
no,no,no,no
no,yes,yes,no
no,no,no,no
no,no,no,no
no,no,no,no
unknown,yes,yes,no
no,no,no,no
no,no,no,no
no,no,no,no
unknown,no,no,no
no,yes,yes,no
unknown,no,no,no
unknown,no,no,no
no,no,no,no
unknown,no,no,no
unknown,no,no,no
unknown,no,yes,no
no,yes,no,no
no,yes,no,no
no,yes,yes,no
no,no,no,no
no,no,yes,no
no,yes,yes,no
unknown,unknown,unknown,no
no,no,no,no
unknown,no,no,no
no,no,no,no
no,yes,no,no
unknown,no,no,no
no,no,yes,no
no,no,yes,yes
no,no,no,no
unknown,no,no,no
unknown,yes,yes,no
no,no,no,no
unknown,yes,no,no
no,yes,yes,no
unknown,no,no,no
no,unknown,unknown,no
no,yes,no,no
unknown,no,no,no
no,no,no,no
no,no,no,no
unknown,unknown,unknown,no
no,unknown,unknown,no
no,unknown,unknown,no
unknown,yes,no,no
unknown,yes,yes,no
no,no,no,no
no,no,no,no
no,no,no,no
unknown,no,yes,no
no,no,no,no
no,no,no,no
unknown,no,no,no
no,no,no,no
unknown,no,no,no
no,no,yes,no
unknown,no,no,no
no,no,yes,no
unknown,no,no,no
no,yes,no,no
unknown,no,no,no
unknown,no,no,no
no,no,no,no
no,yes,no,no
no,no,no,no
no,unknown,unknown,no
no,no,no,no
no,yes,no,no
no,no,no,no
no,yes,no,no
unknown,yes,no,no
no,no,no,no
no,yes,yes,no
no,no,no,no
no,no,no,no
unknown,no,no,no
no,yes,no,no
no,no,no,no
no,no,no,no
unknown,no,yes,no
unknown,no,no,no
no,no,no,no
no,yes,no,no
no,no,no,no
no,no,no,no
no,yes,no,no
no,yes,no,no
no,yes,no,no
unknown,no,no,no
no,no,no,no
no,yes,no,no
no,yes,no,no
no,yes,yes,no
no,no,no,no
no,no,no,no
unknown,no,no,no
no,yes,yes,no
no,yes,no,no
no,no,no,no
no,no,no,no
unknown,yes,no,no
no,no,no,no
no,no,no,no
no,no,no,no
no,no,no,no
no,no,no,no
unknown,yes,no,no
no,yes,no,no
no,yes,yes,no
no,no,no,no
unknown,yes,no,no
no,yes,no,no
unknown,unknown,unknown,no
no,yes,no,no
no,yes,no,no
unknown,yes,no,no
no,no,no,no
no,yes,no,no
no,no,no,no
no,no,no,no
unknown,yes,no,no
no,no,no,no
no,yes,no,no
no,no,no,no
unknown,yes,no,no
no,no,yes,no
unknown,yes,yes,no
no,no,no,no
no,no,no,no
unknown,no,yes,no
unknown,yes,no,no
no,no,no,no
unknown,no,no,no
no,yes,no,no
no,no,yes,no
no,unknown,unknown,no
unknown,yes,no,no
no,no,yes,no
no,yes,no,no
no,no,no,no
no,yes,no,no
no,no,no,no
unknown,no,no,no
unknown,yes,no,no
no,yes,no,no
no,no,yes,no
no,yes,no,no
no,no,yes,no
unknown,no,no,no
no,yes,no,no
no,no,no,no
unknown,yes,no,no
unknown,no,no,no
unknown,yes,no,yes
no,no,no,no
unknown,yes,no,no
no,no,no,no
no,yes,no,no
unknown,yes,no,no
no,yes,no,no
unknown,yes,no,no
no,yes,no,no
no,yes,no,no
no,no,no,no
no,yes,no,no
unknown,yes,no,no
unknown,yes,no,no
unknown,no,no,no
unknown,no,no,no
no,no,no,no
no,no,no,no
unknown,no,no,no
no,yes,no,no
unknown,yes,no,no
no,yes,no,no
no,no,no,no
no,yes,no,no
no,yes,yes,no
no,no,no,no
unknown,yes,yes,no
unknown,yes,no,no
unknown,yes,no,no
no,yes,no,no
unknown,no,no,no
unknown,no,no,no
no,no,no,no
no,no,no,no
no,no,no,no
no,no,no,no
no,no,no,no
no,no,no,no
no,yes,no,no
no,yes,no,no
no,no,no,no
no,yes,no,no
no,no,no,no
no,yes,no,no
no,no,no,no
no,no,no,no
no,yes,no,no
unknown,yes,no,no
no,no,no,no
unknown,yes,yes,no
unknown,no,no,no
no,yes,yes,no
unknown,yes,no,no
unknown,no,no,no
unknown,yes,no,no
no,no,no,no
no,no,no,no
no,no,no,no
unknown,yes,no,no
no,no,no,no
no,yes,yes,no
unknown,yes,no,no
no,yes,yes,no
no,no,yes,no
unknown,yes,no,no
unknown,yes,yes,no
no,yes,no,no
no,no,no,no
no,yes,no,no
no,no,yes,no
no,yes,no,no
no,no,no,no
no,yes,no,no
no,no,no,no
unknown,yes,no,no
no,yes,no,no
unknown,no,no,no
unknown,yes,no,no
unknown,yes,no,no
no,no,no,no
no,no,no,no
no,yes,no,no
unknown,no,no,no
no,no,no,no
no,yes,no,no
no,no,no,no
unknown,no,no,no
unknown,unknown,unknown,no
unknown,no,no,no
unknown,unknown,unknown,no
no,yes,no,no
unknown,yes,no,no
no,no,no,no
no,no,no,no
no,yes,no,no
unknown,no,yes,no
no,unknown,unknown,no
no,yes,no,no
unknown,no,no,no
no,yes,no,no
unknown,yes,no,no
no,no,no,no
no,unknown,unknown,no
no,yes,no,no
no,no,no,no
no,yes,no,no
unknown,no,yes,no
no,yes,no,no
unknown,no,no,no
unknown,unknown,unknown,no
unknown,yes,yes,no
no,no,no,no
no,no,no,no
unknown,no,no,no
no,yes,no,no
no,no,no,no
no,yes,no,no
no,unknown,unknown,no
unknown,yes,yes,no
unknown,yes,no,no
no,no,no,no
no,no,no,no
no,no,no,no
no,no,no,no
no,no,no,no
no,yes,no,no
unknown,yes,no,no
no,no,no,no
no,yes,yes,no
unknown,no,no,no
no,no,no,no
no,yes,no,no
no,no,no,no
unknown,unknown,unknown,no
no,no,no,no
unknown,yes,no,no
no,yes,no,no
unknown,yes,no,no
no,yes,no,no
no,no,no,yes
unknown,no,no,no
no,no,no,no
no,yes,no,no
no,no,yes,no
no,yes,no,no
no,no,no,no
no,yes,no,no
unknown,yes,yes,no
no,yes,no,no
no,yes,no,no
no,no,no,no
unknown,yes,yes,yes
no,yes,no,no
unknown,yes,no,no
unknown,no,no,no
unknown,yes,no,no
unknown,yes,no,no
no,yes,no,no
no,yes,no,no
no,yes,no,no
no,no,no,no
no,yes,yes,no
unknown,yes,no,no
unknown,yes,no,no
unknown,yes,yes,no
no,no,no,no
no,yes,no,no
no,yes,no,no
no,yes,no,no
unknown,yes,no,no
unknown,no,no,no
no,yes,no,no
unknown,yes,no,no
unknown,yes,no,no
no,no,no,no
no,yes,no,yes
unknown,yes,no,no
no,no,no,no
no,yes,no,no
no,yes,no,no
no,no,no,no
unknown,yes,no,no
no,yes,no,no
no,yes,yes,no
no,yes,no,no
no,yes,no,no
no,yes,no,no
unknown,no,no,no
no,yes,no,no
unknown,yes,no,yes
no,yes,no,no
no,yes,no,no
unknown,yes,no,no
no,no,no,no
no,yes,yes,no
no,yes,no,yes
no,yes,no,no
unknown,yes,no,no
unknown,yes,no,no
no,yes,no,no
no,yes,no,no
no,yes,no,no
unknown,yes,no,no
no,yes,no,no
unknown,no,no,no
no,yes,no,no
no,no,no,no
no,no,no,no
no,no,no,no
unknown,yes,no,no
no,no,no,no
no,no,no,no
no,yes,no,no
no,no,no,no
no,yes,no,no
no,yes,no,no
no,no,no,no
no,no,no,no
no,yes,no,no
no,yes,no,no
unknown,no,no,no
unknown,no,no,no
no,unknown,unknown,no
unknown,no,yes,no
no,no,no,no
no,no,no,no
unknown,no,no,no
no,no,no,no
unknown,no,yes,no
unknown,yes,no,no
no,no,no,no
no,no,no,no
no,no,no,no
no,no,yes,no
unknown,yes,no,no
no,yes,no,no
no,yes,no,no
unknown,yes,no,no
no,yes,no,no
no,yes,no,no
unknown,no,no,no
unknown,yes,no,no
no,yes,no,no
no,yes,no,no
no,yes,no,no
no,yes,no,no
no,yes,no,no
no,yes,yes,no
unknown,yes,no,no
unknown,yes,no,no
no,yes,no,no
unknown,yes,no,no
no,yes,no,no
no,no,no,no
unknown,yes,yes,no
unknown,no,no,no
no,yes,no,no
unknown,yes,no,no
unknown,yes,no,no
unknown,yes,no,no
unknown,unknown,unknown,no
unknown,no,no,no
unknown,no,no,no
unknown,no,no,no
unknown,no,no,no
no,no,no,no
unknown,yes,no,no
no,yes,no,no
no,yes,no,no
no,yes,yes,no
no,yes,yes,no
no,no,yes,no
no,no,no,no
unknown,no,no,no
no,no,no,no
no,no,no,no
unknown,yes,no,no
unknown,no,no,no
no,yes,no,no
no,no,no,no
unknown,no,no,no
no,no,yes,no
unknown,no,no,no
no,yes,no,no
no,no,no,no
no,yes,no,no
no,yes,no,no
no,no,no,no
no,no,no,no
no,yes,no,no
no,yes,no,no
no,yes,no,no
no,yes,no,no
no,yes,no,no
no,unknown,unknown,no
unknown,yes,no,no
no,no,no,no
no,no,no,no
no,yes,no,no
no,no,no,no
no,yes,yes,no
no,unknown,unknown,no
no,no,no,no
no,yes,no,no
unknown,no,no,no
no,yes,no,no
unknown,no,no,no
no,no,no,no
no,no,no,no
unknown,yes,no,no
no,unknown,unknown,no
no,no,no,no
unknown,no,no,no
no,no,no,no
no,yes,no,no
no,yes,yes,no
no,yes,no,no
no,yes,no,no
no,no,no,no
no,no,no,no
no,no,no,no
no,no,no,no
no,yes,no,no
no,unknown,unknown,no
unknown,no,no,no
unknown,no,no,no
unknown,yes,no,no
no,yes,no,no
no,yes,no,no
no,no,no,no
no,no,no,no
no,no,no,no
no,no,no,no
no,no,no,no
no,yes,no,no
unknown,no,no,no
unknown,yes,no,no
no,no,no,no
no,yes,no,no
unknown,no,no,no
unknown,no,no,no
no,no,no,no
no,no,no,no
unknown,unknown,unknown,no
unknown,yes,no,no
unknown,no,no,no
no,yes,no,no
no,no,yes,no
no,yes,no,no
unknown,no,no,no
no,no,yes,no
no,yes,no,no
unknown,unknown,unknown,no
no,no,no,no
unknown,yes,no,no
unknown,no,no,no
no,yes,no,no
no,yes,no,no
unknown,no,yes,no
no,no,no,no
no,no,no,no
no,yes,no,no
unknown,no,no,no
unknown,no,no,no
unknown,no,no,no
unknown,yes,no,no
no,yes,no,no
no,no,no,no
unknown,unknown,unknown,no
no,unknown,unknown,no
unknown,no,no,no
no,yes,no,no
no,yes,no,no
no,no,no,no
unknown,yes,no,no
no,no,no,no
no,yes,no,no
no,no,no,no
no,no,no,no
unknown,yes,no,no
unknown,no,no,no
unknown,unknown,unknown,no
no,yes,no,no
no,unknown,unknown,no
no,no,no,no
no,yes,no,no
unknown,yes,no,no
no,yes,yes,no
no,no,no,no
unknown,no,no,no
no,yes,no,no
no,no,no,no
no,no,no,no
no,no,no,no
no,no,no,no
no,no,no,no
no,yes,no,no
unknown,no,no,yes
no,yes,no,no
no,yes,no,no
unknown,no,yes,no
no,yes,no,no
no,yes,no,no
no,yes,no,no
no,yes,yes,no
unknown,yes,no,no
no,yes,no,no
no,yes,no,no
unknown,no,no,no
no,yes,no,no
unknown,no,no,no
no,no,no,no
unknown,yes,no,no
no,yes,no,no
unknown,no,no,no
no,yes,no,no
unknown,yes,no,no
no,no,no,no
no,yes,no,no
no,no,no,no
unknown,no,yes,no
no,yes,no,no
unknown,yes,yes,no
no,yes,no,no
no,yes,no,no
no,yes,no,no
no,yes,yes,no
no,no,no,no
no,no,no,no
no,unknown,unknown,no
no,yes,no,no
no,no,no,no
no,no,no,no
no,no,no,yes
no,yes,no,no
no,yes,yes,no
no,no,no,no
unknown,yes,no,no
no,no,no,no
no,no,no,no
no,yes,no,no
no,no,no,no
unknown,no,no,no
unknown,unknown,unknown,no
unknown,no,no,no
no,yes,no,no
no,no,no,no
unknown,no,no,no
unknown,yes,no,no
no,yes,no,no
unknown,no,no,no
unknown,no,no,no
unknown,no,no,no
no,yes,no,no
no,yes,no,no
no,yes,no,no
no,no,no,no
no,yes,no,no
no,yes,yes,no
unknown,no,no,no
unknown,no,no,no
no,no,no,no
no,yes,no,no
no,no,no,no
no,yes,no,no
no,yes,no,no
no,yes,no,no
unknown,no,no,no
no,no,no,no
unknown,no,no,no
no,yes,yes,no
no,yes,no,no
no,no,no,no
no,no,no,no
no,no,no,no
no,no,yes,no
no,no,no,no
no,yes,no,no
unknown,no,no,no
no,no,no,no
unknown,yes,no,no
no,yes,no,no
no,no,no,no
no,no,no,no
no,no,no,no
no,yes,no,yes
unknown,no,no,no
no,no,no,no
no,yes,no,no
no,yes,no,no
no,no,yes,no
unknown,no,yes,no
no,no,no,no
no,no,no,no
no,no,yes,no
unknown,no,no,no
no,no,no,no
unknown,no,no,no
unknown,no,no,no
unknown,no,no,no
no,no,no,no
no,no,yes,no
no,yes,yes,no
no,no,no,no
no,yes,no,no
no,no,no,no
no,no,yes,no
no,no,no,no
no,yes,no,yes
unknown,no,no,no
no,yes,yes,no
unknown,no,no,no
unknown,yes,no,no
unknown,no,no,no
no,yes,no,no
no,yes,no,no
unknown,yes,yes,no
no,yes,no,no
no,yes,no,no
no,no,no,no
no,no,no,no
no,yes,no,no
unknown,no,no,no
unknown,no,no,no
no,yes,yes,no
unknown,no,no,no
no,yes,no,no
no,no,no,no
unknown,no,no,no
no,yes,no,no
no,no,no,no
unknown,no,no,no
no,yes,yes,no
no,yes,yes,no
no,yes,yes,no
no,yes,no,no
no,yes,no,no
unknown,yes,no,no
unknown,no,no,no
no,yes,no,no
unknown,no,no,no
no,no,no,no
unknown,no,no,no
no,yes,no,no
unknown,no,no,no
no,no,no,no
no,no,no,no
no,no,no,no
unknown,no,no,no
no,no,no,no
no,no,no,no
unknown,no,yes,no
no,no,no,yes
no,no,no,no
unknown,no,yes,no
unknown,no,no,no
no,yes,no,no
unknown,yes,no,no
no,no,no,no
no,no,no,no
no,no,no,no
unknown,no,yes,no
unknown,no,no,no
no,no,yes,no
unknown,no,no,no
no,no,no,no
no,no,no,no
no,no,no,no
unknown,yes,no,no
no,yes,no,no
unknown,no,no,no
no,yes,no,no
no,yes,yes,no
no,no,yes,no
unknown,yes,yes,no
no,yes,no,yes
no,yes,yes,no
unknown,yes,no,no
unknown,yes,no,no
unknown,yes,no,no
no,no,no,no
unknown,yes,no,no
no,yes,yes,no
no,yes,no,no
no,no,no,no
no,no,no,no
no,no,no,no
no,no,no,no
no,no,no,no
no,yes,yes,no
no,no,no,no
unknown,no,no,no
unknown,yes,no,no
no,yes,no,no
no,yes,no,no
no,yes,no,no
no,yes,no,no
no,no,no,no
no,no,no,no
unknown,yes,no,no
no,yes,no,no
no,no,no,no
unknown,no,no,no
no,no,no,no
no,yes,no,no
no,yes,no,no
no,yes,yes,no
no,yes,no,no
no,yes,no,no
no,yes,no,no
unknown,no,yes,no
no,no,no,no
no,no,yes,no
no,yes,no,no
no,yes,no,no
unknown,yes,no,no
no,no,no,no
no,no,no,no
unknown,yes,no,no
no,yes,no,no
no,yes,no,no
no,no,yes,no
unknown,no,no,no
no,yes,no,no
no,no,no,no
unknown,yes,no,no
unknown,no,no,no
no,no,no,no
no,yes,no,no
no,yes,no,no
no,no,no,no
no,no,no,no
unknown,no,no,no
no,yes,no,no
unknown,yes,no,no
no,yes,yes,no
no,no,no,no
no,yes,no,no
no,no,no,yes
no,no,yes,no
unknown,no,no,no
unknown,yes,no,no
no,no,no,no
no,yes,no,no
no,no,no,no
no,no,no,no
no,yes,no,no
no,no,no,no
no,yes,no,no
no,yes,no,no
no,yes,no,no
no,yes,no,no
unknown,no,no,no
unknown,yes,no,no
no,no,no,no
no,no,no,no
no,yes,yes,no
no,yes,no,no
unknown,yes,no,no
no,no,no,no
no,yes,yes,no
no,no,no,no
no,no,no,no
no,yes,no,no
no,yes,no,no
no,no,no,no
no,no,no,no
no,yes,no,yes
no,yes,no,no
no,no,no,no
unknown,no,yes,no
no,no,no,no
no,no,no,no
unknown,yes,no,no
no,yes,no,no
no,yes,no,no
no,no,no,no
unknown,yes,no,no
no,yes,no,no
no,yes,no,no
no,no,no,no
unknown,yes,yes,no
no,no,no,no
unknown,yes,no,no
no,no,no,no
no,no,no,no
no,no,yes,no
no,yes,yes,no
unknown,yes,no,no
unknown,yes,no,no
no,no,no,no
no,unknown,unknown,no
no,no,no,no
no,no,no,no
no,yes,no,no
no,no,no,no
no,yes,no,no
no,no,no,no
unknown,no,no,no
unknown,no,no,no
unknown,no,no,no
no,yes,no,no
no,no,yes,no
unknown,no,yes,no
unknown,no,no,no
no,no,no,no
unknown,yes,no,no
unknown,no,no,no
unknown,no,no,no
unknown,no,yes,no
no,no,no,no
no,no,no,no
no,no,no,no
unknown,no,no,no
no,no,no,no
no,no,no,yes
no,no,no,no
no,no,no,no
no,no,no,no
unknown,no,no,no
no,yes,no,no
no,no,no,no
unknown,no,no,no
unknown,unknown,unknown,no
no,no,no,no
unknown,no,no,no
no,no,no,no
no,no,no,no
no,no,no,no
no,yes,yes,no
no,yes,yes,no
no,yes,yes,no
no,yes,no,no
no,no,no,no
no,yes,no,no
unknown,no,yes,no
no,yes,no,no
no,no,yes,no
no,no,no,no
no,yes,no,no
unknown,yes,yes,no
no,no,no,no
no,yes,no,no
no,no,no,no
no,no,no,no
no,no,no,no
no,unknown,unknown,no
unknown,no,no,no
no,no,no,no
unknown,no,no,no
no,no,yes,no
no,yes,no,no
unknown,yes,no,no
no,no,no,no
no,no,no,no
unknown,no,no,no
no,no,no,no
unknown,no,no,no
no,yes,no,no
unknown,yes,no,no
no,yes,no,no
unknown,yes,no,yes
no,yes,yes,no
no,yes,no,yes
no,no,no,no
unknown,yes,yes,no
unknown,yes,no,no
no,yes,no,no
no,yes,no,no
no,no,no,no
no,yes,no,no
unknown,no,no,no
no,no,yes,no
no,yes,yes,no
unknown,no,yes,no
unknown,no,yes,no
unknown,yes,no,no
no,no,no,no
no,no,yes,no
no,no,yes,no
no,yes,no,no
no,yes,no,no
no,no,no,no
unknown,no,yes,no
no,yes,no,no
unknown,yes,no,no
no,no,no,no
no,yes,no,no
no,yes,no,no
no,yes,no,no
no,yes,yes,no
no,no,no,no
no,no,no,no
no,yes,no,no
no,no,no,no
no,no,no,no
no,no,yes,no
no,yes,no,no
no,yes,no,no
unknown,yes,no,no
no,yes,no,no
no,no,no,no
no,yes,no,no
no,no,no,no
no,yes,no,no
no,no,no,no
unknown,yes,no,no
